timestamp,gas_price
1684057415,0x93fc4bf56
1684057439,0x8f09724b6
1684057451,0x9d0f868c5
1684057463,0xa4a44435a
1684057475,0x9bb52b8e9
1684057487,0x9f2fccc5e
1684057499,0x983389877
1684057511,0x98d39c728
1684057523,0x9546b495a
1684057535,0x999f31708
1684057547,0x9e47453e2
1684057559,0x978f2a261
1684057571,0x954091bac
1684057583,0x90e24a6cc
1684057595,0x8e8579f23
1684057607,0x887313945
1684057619,0x997eae5d4
1684057631,0x93c2aea82
1684057643,0x90ad6cd0c
1684057655,0x8e1966c76
1684057667,0x8d8b7d920
1684057679,0x8a969d884
1684057691,0x873b8e412
1684057703,0x981fb2783
1684057715,0x9293fd0a7
1684057727,0x90e38138e
1684057739,0x92cbbaa7d
1684057763,0x89d331425
1684057775,0x9b0c9226c
1684057787,0xa87ac9914
1684057799,0xa1f71d410
1684057811,0x9f7766fff
1684057823,0x9f595c9c7
1684057835,0x9a8fde8d6
1684057847,0x9b580eb01
1684057859,0x953c7a7ac
1684057871,0x8eb7f5bd8
1684057883,0x94f26b46f
1684057895,0x90f78d50a
1684057907,0x8c2da1215
1684057919,0x8f615e170
1684057931,0x8f93a9e6f
1684057943,0x929cc5e70
1684057955,0x96a65eb53
1684057967,0x8ea808964
1684057979,0x966dfcc2a
1684057991,0x9a5cf668f
1684058003,0x9e363bbdf
1684058015,0x9db892788
1684058027,0xa0d373f3f
1684058039,0x9ae491824
1684058051,0x9b0f2d12e
1684058063,0xa12f61055
1684058075,0xa630fd9b8
1684058087,0xaca77df07
1684058099,0xb200b45d4
1684058111,0xaff88fe51
1684058123,0xb0aaf2e22
1684058135,0xae9ce21a8
1684058147,0xabe87e651
1684058159,0xab6d70332
1684058171,0xac1df5fbc
1684058183,0xaaba8f297
1684058195,0xad6590382
1684058207,0xa8bf8dcb7
1684058219,0xa9b5cebb1
1684058243,0xad280e75e
1684058255,0xb8624d3c9
1684058267,0xb5404d9a1
1684058279,0xc0f6214af
1684058291,0xd8af1eda1
1684058303,0xd15ab52c2
1684058315,0xcbe550fd6
1684058327,0xbeb4a5ad6
1684058339,0xb84c1bd15
1684058351,0xae9d51853
1684058363,0xa99df2e63
1684058375,0xa47d4c423
1684058387,0xb1abd1274
1684058399,0xa9afb016f
1684058411,0xa48703a1e
1684058435,0xad5f7fc5d
1684058447,0xaee366754
1684058471,0xac11e62c3
1684058483,0xbab05f671
1684058495,0xb76211f2d
1684058507,0xafaf452a4
1684058519,0xa936281ee
1684058543,0xa86ca6693
1684058555,0xb314ef7ba
1684058567,0xaa63ff0f8
1684058579,0xa4aa791fc
1684058591,0xabd557db2
1684058603,0xa6320ed72
